time_s	chan_0	chan_1	chan_2
0	500.308990773192	485.244260067234	15.0647307059581
0.5	499.990844717831	484.954152063515	15.0366926543166
1	500.183963951076	485.130963450397	15.0530005006795
1.5	500.207710464201	485.14984621987	15.0578642443316
2	500.313854516844	485.252843144267	15.0610113725771
2.5	500.040912667191	485.001645089765	15.0392675774265
3	499.956226307131	484.917244832272	15.0389814748587
3.5	500.016593948931	484.973893140691	15.0427008082398
4	500.078392103569	485.024247192619	15.0541449109506
4.5	500.044059795437	485.000786782061	15.0432730133753
5	499.951362563479	484.919819755382	15.0315428080967
5.5	500.208282669337	485.146985194192	15.0612974751448
6	500.098705385881	485.056004577641	15.0427008082398
6.5	500.248337028825	485.183320220299	15.0650168085259
7	500.175666976611	485.121808168228	15.0538588083828
7.5	500.004577641084	484.963021243116	15.0415563979687
8	499.926185537515	484.898934267935	15.0272512695801
8.5	500.311565696302	485.239110221014	15.0724554752879
9	500.121593591302	485.073742936843	15.0478506544596
9.5	500.277805593305	485.225091195194	15.0527143981117
10	500.109005078321	485.060296116158	15.0487089621629
10.5	500.352192260926	485.296616837136	15.0555754237894
11	500.274944567627	485.213074887347	15.0618696802804
11.5	500.323868106716	485.269723195766	15.0541449109506
12	499.960517845648	484.931263858093	15.0292539875545
12.5	500.31185179887	485.253415349403	15.0584364494671
13	500.397682569201	485.336098991488	15.0615835777126
13.5	500.17194764323	485.122094270796	15.049853372434
14	500.281238824118	485.224518990058	15.0567198340605
14.5	500.238609541521	485.185322938273	15.0532866032473
15	500.277805593305	485.227952220871	15.049853372434
15.5	500.447464415993	485.380444889493	15.0670195265002
16	500.293541234533	485.245118374937	15.0484228595952
16.5	500.477791288177	485.413632787354	15.0641585008225
17	500.331878978614	485.281453401044	15.0504255775696
17.5	500.449467133968	485.389027966526	15.0604391674415
18	500.380802517703	485.322652170803	15.0581503468994
18.5	500.38366354338	485.330663042701	15.0530005006795
19	500.524998211859	485.466275659824	15.0587225520349
19.5	500.409698877047	485.361848222588	15.0478506544596
20	500.557613904585	485.495172019169	15.0624418854159
20.5	500.69036549603	485.639367713325	15.0509977827051
21	500.588512981904	485.529504327301	15.0590086546027
21.5	500.364208568772	485.314927401473	15.0492811672985
22	500.417423646377	485.361848222588	15.0555754237894
22.5	500.36449467134	485.313782991202	15.0507116801373
23	500.537872827409	485.486875044704	15.0509977827051
23.5	500.289821901152	485.237393605608	15.052428295544
24	500.550461340391	485.498033044847	15.052428295544
24.5	500.454903082755	485.395894428152	15.0590086546027
25	500.50811816036	485.452828839139	15.0552893212217
25.5	500.507259852657	485.447965095487	15.0592947571704
26	500.47607467277	485.417638223303	15.0584364494671
26.5	500.579929904871	485.529790429869	15.0501394750018
27	500.5184178528	485.458836993062	15.0595808597382
27.5	500.266075388027	485.225091195194	15.0409841928331
28	500.468063800873	485.412774479651	15.0552893212217
28.5	500.477219083041	485.427937915743	15.0492811672985
29	500.449753236535	485.391316787068	15.0584364494671
29.5	500.443172877477	485.398469351262	15.0447035262141
30	500.442886774909	485.389027966526	15.0538588083828
30.5	500.476646877906	485.426793505472	15.049853372434
31	500.39911308204	485.345826478793	15.0532866032473
